id,fecha,producto,comentario
1,2026-05-02,Audífonos Bluetooth,"Envío rápido, el producto llegó en dos días y en perfecto estado. Muy recomendable."
2,2026-05-02,Cargador USB-C,"Pésima atención al cliente, llevo una semana esperando respuesta y nadie contesta."
3,2026-05-03,Mochila antirrobo,"La calidad es aceptable para el precio que pagué, cumple su función sin problemas."
4,2026-05-03,Smartwatch deportivo,"No es bueno, esperaba mucho más por lo que costó. Me decepcionó bastante."
5,2026-05-04,Teclado mecánico,"Es bueno el producto, hace exactamente lo que promete y se siente sólido."
6,2026-05-04,Cafetera express,"El empaque venía dañado pero el artículo funciona bien, así que lo dejo pasar."
7,2026-05-05,Audífonos Bluetooth,"Excelente calidad, superó todas mis expectativas. Sin duda volveré a comprar aquí."
8,2026-05-05,Zapatillas running,"Llegó tarde y encima el color no era el que pedí. Muy molesto con la experiencia."
9,2026-05-06,Mouse inalámbrico,"Producto regular, ni bueno ni malo, simplemente normal para el uso diario."
10,2026-05-06,Smartwatch deportivo,"Me encantó, el material se siente premium y el acabado es impecable. Compra perfecta."
11,2026-05-07,Cafetera express,"Terrible experiencia, el producto se dañó a la semana de uso. No lo recomiendo."
12,2026-05-07,Cargador USB-C,"Buena relación calidad precio, lo recomiendo para el uso de todos los días."
13,2026-05-08,Lámpara LED,"No lo recomiendo, dejó de funcionar después de tres días. Una verdadera lástima."
14,2026-05-08,Mochila antirrobo,"La entrega fue puntual y el vendedor muy amable durante todo el proceso de compra."
15,2026-05-09,Teclado mecánico,"Esperaba algo mejor, las fotos no coinciden con el producto real. Me siento engañado."
16,2026-05-09,Mouse inalámbrico,"Cumple con lo básico, nada del otro mundo pero sirve para lo que lo necesito."
17,2026-05-10,Soporte técnico,"Excelente servicio, me atendieron en minutos y quedé muy satisfecho con la solución."
18,2026-05-10,Zapatillas running,"El paquete llegó incompleto, faltaban piezas importantes. Muy mala organización."
19,2026-05-11,Lámpara LED,"Funciona correctamente, sin quejas hasta el momento. Hace su trabajo."
20,2026-05-11,Audífonos Bluetooth,"Genial, otro pedido que llega roto. Justo lo que necesitaba para alegrarme el día."
21,2026-05-12,Cargador USB-C,"Muy contento con la compra, el envío fue gratis y más rápido de lo esperado."
22,2026-05-12,Smartwatch deportivo,"Atención deficiente, me trataron muy mal cuando intenté reclamar la garantía."
23,2026-05-13,Cafetera express,"Producto de buena calidad, aunque el precio me pareció algo elevado para lo que ofrece."
24,2026-05-13,Mochila antirrobo,"No está mal, pero he visto mejores opciones por menos dinero en otras tiendas."
25,2026-05-14,Teclado mecánico,"Fantástico, llegó antes de lo esperado y muy bien protegido en su empaque."
26,2026-05-14,Mouse inalámbrico,"Decepcionante, el material se siente barato y frágil. No durará mucho tiempo."
27,2026-05-15,Soporte técnico,"Recomiendo totalmente esta tienda, siempre cumplen con lo que prometen."
28,2026-05-15,Smartwatch deportivo,"El producto es correcto pero la aplicación que lo controla falla demasiado."
29,2026-05-16,Lámpara LED,"Maravilloso regalo, a mi hija le encantó. Una compra perfecta para la ocasión."
30,2026-05-16,Zapatillas running,"Una estafa, cobran envío express y al final tardó dos semanas en llegar."
31,2026-05-17,Mochila antirrobo,"Calidad sólida, llevo meses usándola y sigue como nueva. Excelente inversión."
32,2026-05-17,Cafetera express,"Llegó con un rayón pequeño pero por lo demás está bien y funciona correctamente."
33,2026-05-18,Cargador USB-C,"Excelente, otro artículo defectuoso. Gracias por nada, vendedor de confianza."
34,2026-05-18,Soporte técnico,"Servicio rápido y eficiente, resolvieron mi caso sin demoras. Repetiré sin dudarlo."
35,2026-05-19,Smartwatch deportivo,"No vale lo que cuesta, me siento engañado con esta compra tan cara."
36,2026-05-19,Audífonos Bluetooth,"El envío demoró un poco pero el producto valió completamente la espera."
37,2026-05-20,Mouse inalámbrico,"Empaque sencillo, producto tal cual se describe. Todo normal, sin sorpresas."
38,2026-05-20,Lámpara LED,"Horrible, el soporte técnico nunca respondió mis correos. Pésimo seguimiento."
39,2026-05-21,Zapatillas running,"Súper cómodas y de excelente acabado, las amo. Mejor compra del mes sin duda."
40,2026-05-21,Cafetera express,"Aceptable, cumple su función aunque la jarra es más pequeña de lo que esperaba."
